"customerID;""gender"";""SeniorCitizen"";""Partner"";""Dependents"";""tenure"";""PhoneService"";""MultipleLines"";""InternetService"";""OnlineSecurity"";""OnlineBackup"";""DeviceProtection"";""TechSupport"";""StreamingTV"";""StreamingMovies"";""Contract"";""PaperlessBilling"";""PaymentMethod"";""MonthlyCharges"";""TotalCharges"";""Churn""",,
"7590-VHVEG;""Female"";0;""Yes"";""No"";1;""No"";""No phone service"";""DSL"";""No"";""Yes"";""No"";""No"";""No"";""No"";""Month-to-month"";""Yes"";""Electronic check"";29",85;29,"85;""No"""
"5575-GNVDE;""Male"";0;""No"";""No"";34;""Yes"";""No"";""DSL"";""Yes"";""No"";""Yes"";""No"";""No"";""No"";""One year"";""No"";""Mailed check"";56",95;1889,"5;""No"""
"7795-CFOCW;""Male"";0;""No"";""No"";45;""No"";""No phone service"";""DSL"";""Yes"";""No"";""Yes"";""Yes"";""No"";""No"";""One year"";""No"";""Bank transfer (automatic)"";42",3;1840,"75;""No"""
"1452-KIOVK;""Male"";0;""No"";""Yes"";22;""Yes"";""Yes"";""Fiber optic"";""No"";""Yes"";""No"";""No"";""Yes"";""No"";""Month-to-month"";""Yes"";""Credit card (automatic)"";89",1;1949,"4;""No"""
"6713-OKOMC;""Female"";0;""No"";""No"";10;""No"";""No phone service"";""DSL"";""Yes"";""No"";""No"";""No"";""No"";""No"";""Month-to-month"";""No"";""Mailed check"";29",75;301,"9;""No"""
"6388-TABGU;""Male"";0;""No"";""Yes"";62;""Yes"";""No"";""DSL"";""Yes"";""Yes"";""No"";""No"";""No"";""No"";""One year"";""No"";""Bank transfer (automatic)"";56",15;3487,"95;""No"""
"6572-ADKRS;""Female"";0;""No"";""No"";46;""Yes"";""No"";""Fiber optic"";""No"";""No"";""Yes"";""No"";""No"";""No"";""Month-to-month"";""Yes"";""Credit card (automatic)"";74",8;3548,"3;""No"""
"8865-TNMNX;""Male"";0;""Yes"";""Yes"";10;""Yes"";""No"";""DSL"";""No"";""Yes"";""No"";""No"";""No"";""No"";""One year"";""No"";""Mailed check"";49",55;475,"7;""No"""
"9489-DEDVP;""Female"";0;""Yes"";""Yes"";70;""Yes"";""Yes"";""DSL"";""Yes"";""Yes"";""No"";""No"";""Yes"";""No"";""Two year"";""Yes"";""Credit card (automatic)"";69",2;4872,"35;""No"""
"9867-JCZSP;""Female"";0;""Yes"";""Yes"";17;""Yes"";""No"";""No"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""No internet service"";""One year"";""No"";""Mailed check"";20",75;418,"25;""No"""
"4671-VJLCL;""Female"";0;""No"";""No"";63;""Yes"";""Yes"";""DSL"";""Yes"";""Yes"";""Yes"";""Yes"";""Yes"";""No"";""Two year"";""Yes"";""Credit card (automatic)"";79",85;4861,"45;""No"""
"4080-IIARD;""Female"";0;""Yes"";""No"";13;""Yes"";""Yes"";""DSL"";""Yes"";""Yes"";""No"";""Yes"";""Yes"";""No"";""Month-to-month"";""Yes"";""Electronic check"";76",2;981,"45;""No"""
"3714-NTNFO;""Female"";0;""No"";""No"";49;""Yes"";""Yes"";""Fiber optic"";""No"";""No"";""No"";""No"";""No"";""Yes"";""Month-to-month"";""Yes"";""Electronic check"";84",5;3906,"7;""No"""
